id,title,text,level1_family,subtype,key_clues,numbers_present,integrality_implied,source_url,bin_capacity,capacity,num_constraints,num_customers,num_facilities,num_items,num_jobs,num_machines,num_sinks,num_sources,size,source_type
jobshop/orlib/001,Job Shop Instance orlib-1,A job shop scheduling problem with 10 jobs and 10 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M4(88min) → M8(68min) → M6(94min) → M5(99min) → M1(67min) → M2(89min) → M9(77min) → M7(99min) → M0(86min) → M3(92min); Job2: M5(72min) → M3(50min) → M6(69min) → M4(75min) → M2(94min) → M8(66min) → M0(92min) → M1(82min) → M7(94min) → M9(63min); Job3: M9(83min) → M8(61min) → M0(83min) → M1(65min) → M6(64min) → M5(85min) → M7(78min) → M4(85min) → M2(55min) → M3(77min) and 7 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,10,10,,,,
jobshop/orlib/002,Job Shop Instance orlib-2,A job shop scheduling problem with 10 jobs and 10 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M7(62min) → M8(24min) → M5(25min) → M3(84min) → M4(47min) → M6(38min) → M2(82min) → M0(93min) → M9(24min) → M1(66min); Job2: M5(47min) → M2(97min) → M8(92min) → M9(22min) → M1(93min) → M4(29min) → M7(56min) → M3(80min) → M0(78min) → M6(67min); Job3: M1(45min) → M7(46min) → M6(22min) → M2(26min) → M9(38min) → M0(69min) → M4(40min) → M3(33min) → M8(75min) → M5(96min) and 7 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,10,10,,,,
jobshop/orlib/003,Job Shop Instance orlib-3,A job shop scheduling problem with 20 jobs and 15 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M2(24min) → M3(12min) → M9(17min) → M4(27min) → M0(21min) → M6(25min) → M8(27min) → M7(26min) → M1(30min) → M5(31min) → M11(18min) → M14(16min) → M13(39min) → M10(19min) → M12(26min); Job2: M6(30min) → M3(15min) → M12(20min) → M11(19min) → M1(24min) → M13(15min) → M10(28min) → M2(36min) → M5(26min) → M7(15min) → M0(11min) → M8(23min) → M14(20min) → M9(26min) → M4(28min); Job3: M6(35min) → M0(22min) → M13(23min) → M7(32min) → M2(20min) → M3(12min) → M12(19min) → M10(23min) → M9(17min) → M1(14min) → M5(16min) → M11(29min) → M8(16min) → M4(22min) → M14(22min) and 17 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,20,15,,,,
jobshop/orlib/004,Job Shop Instance orlib-4,A job shop scheduling problem with 20 jobs and 15 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M0(19min) → M9(33min) → M2(32min) → M13(18min) → M10(39min) → M8(34min) → M6(25min) → M4(36min) → M11(40min) → M12(33min) → M1(31min) → M14(30min) → M3(34min) → M5(26min) → M7(13min); Job2: M9(11min) → M10(22min) → M14(19min) → M5(12min) → M4(25min) → M6(38min) → M0(29min) → M7(39min) → M13(19min) → M11(22min) → M1(23min) → M3(20min) → M2(40min) → M12(19min) → M8(26min); Job3: M3(25min) → M8(17min) → M11(24min) → M13(40min) → M10(32min) → M14(16min) → M5(39min) → M9(19min) → M0(24min) → M1(39min) → M4(17min) → M2(35min) → M7(38min) → M6(20min) → M12(31min) and 17 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,20,15,,,,
jobshop/orlib/005,Job Shop Instance orlib-5,A job shop scheduling problem with 20 jobs and 15 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M6(14min) → M5(21min) → M8(13min) → M4(11min) → M1(11min) → M14(35min) → M13(20min) → M11(17min) → M10(18min) → M12(11min) → M2(23min) → M3(13min) → M0(15min) → M7(11min) → M9(35min); Job2: M1(35min) → M5(31min) → M0(13min) → M3(26min) → M6(14min) → M9(17min) → M7(38min) → M12(20min) → M10(19min) → M13(12min) → M8(16min) → M4(34min) → M11(15min) → M14(12min) → M2(14min); Job3: M0(30min) → M4(35min) → M2(40min) → M10(35min) → M6(30min) → M14(23min) → M8(29min) → M13(37min) → M7(38min) → M3(40min) → M9(26min) → M12(11min) → M1(40min) → M11(36min) → M5(17min) and 17 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,20,15,,,,
jobshop/orlib/006,Job Shop Instance orlib-6,A job shop scheduling problem with 6 jobs and 6 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M2(1min) → M0(3min) → M1(6min) → M3(7min) → M5(3min) → M4(6min); Job2: M1(8min) → M2(5min) → M4(10min) → M5(10min) → M0(10min) → M3(4min); Job3: M2(5min) → M3(4min) → M5(8min) → M0(9min) → M1(1min) → M4(7min) and 3 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,6,6,,,,
jobshop/orlib/007,Job Shop Instance orlib-7,A job shop scheduling problem with 10 jobs and 10 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M0(29min) → M1(78min) → M2(9min) → M3(36min) → M4(49min) → M5(11min) → M6(62min) → M7(56min) → M8(44min) → M9(21min); Job2: M0(43min) → M2(90min) → M4(75min) → M9(11min) → M3(69min) → M1(28min) → M6(46min) → M5(46min) → M7(72min) → M8(30min); Job3: M1(91min) → M0(85min) → M3(39min) → M2(74min) → M8(90min) → M5(10min) → M7(12min) → M6(89min) → M9(45min) → M4(33min) and 7 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,10,10,,,,
jobshop/orlib/008,Job Shop Instance orlib-8,A job shop scheduling problem with 20 jobs and 5 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M0(29min) → M1(9min) → M2(49min) → M3(62min) → M4(44min); Job2: M0(43min) → M1(75min) → M3(69min) → M2(46min) → M4(72min); Job3: M1(91min) → M0(39min) → M2(90min) → M4(12min) → M3(45min) and 17 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,20,5,,,,
jobshop/orlib/009,Job Shop Instance orlib-9,A job shop scheduling problem with 10 jobs and 5 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M1(21min) → M0(53min) → M4(95min) → M3(55min) → M2(34min); Job2: M0(21min) → M3(52min) → M4(16min) → M2(26min) → M1(71min); Job3: M3(39min) → M4(98min) → M1(42min) → M2(31min) → M0(12min) and 7 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,10,5,,,,
jobshop/orlib/010,Job Shop Instance orlib-10,A job shop scheduling problem with 10 jobs and 5 machines. Each job must be processed through a sequence of machines in a specific order. Jobs have the following routes: Job1: M0(20min) → M3(87min) → M1(31min) → M4(76min) → M2(17min); Job2: M4(25min) → M2(32min) → M0(24min) → M1(18min) → M3(81min); Job3: M1(72min) → M2(23min) → M4(28min) → M0(58min) → M3(99min) and 7 more jobs. Each machine can process only one job at a time. Minimize makespan.,scheduling,job_shop,sequence routing precedence multiple_operations machine_order,yes,yes,https://people.brunel.ac.uk/~mastjjb/jeb/orlib/jobshopinfo.html,,,,,,,10,5,,,,
